StationNumber,StationName,Alt,longitude,latitude,County,Address,datatime,Auto
C1S850,豐南,489,121.2624,23.1221,花蓮縣,富里鄉豐南村花82縣道盡頭叉路1k旁,2012/1/1,1
C1S860,利嘉,516,121.0505,22.8094,臺東縣,卑南鄉利嘉林道6k附近梅子園,2012/1/1,1
C1S870,南美山,222,121.3823,23.1503,臺東縣,成功鎮南美山產業道路盡頭柑橘園,2012/1/1,1
C1S880,壽卡,474,120.8589,22.2389,臺東縣,達仁鄉(大武事業區第48林班內)電信轉播站後方,1997/7/1,1
C1SA70,都蘭,62,121.2269,22.8779,臺東縣,東河鄉都蘭村431號(都蘭國民小學教室頂樓),2019/6/7,1
C1T800,洛韶,1260,121.454,24.2046,花蓮縣,秀林鄉富世村中橫公路洛韶11號旁,1996/1/1,1
C1T810,慈恩,2049,121.3884,24.192,花蓮縣,秀林鄉富世村關原路3號(救國團慈恩山莊),1996/1/1,1
C1T830,布洛灣,675,121.5713,24.1718,花蓮縣,秀林鄉布洛灣地區(布洛灣遊客中心圓環之廣場旁邊),1996/1/1,1
C1T920,中興,68,121.4987,23.7695,花蓮縣,壽豐鄉中興大橋橋頭旁,1996/1/1,1
C1T940,大觀,539,121.3731,23.7142,花蓮縣,萬榮鄉(往臺16線過管制哨約12k處),1996/1/1,1
C1T950,太安,1050,121.3701,23.6667,花蓮縣,萬榮鄉太田事業區128林班地(馬太鞍苗圃),1996/1/1,1
C1T970,大農,183,121.4133,23.6152,花蓮縣,光復鄉花蓮糖廠之大農農場內(大農段691號),1996/1/1,1
C1T980,龍澗,1306,121.4113,24.0233,花蓮縣,秀林鄉龍澗發電廠旁,1996/1/1,1
C1T990,高寮,128,121.3568,23.3942,花蓮縣,玉里鎮觀音里15鄰9號(觀音國民小學校園內),1997/7/1,1
C1TA00,太魯閣,94,121.6236,24.1577,花蓮縣,秀林鄉富世291號（太魯閣國家公園管理處內）,2018/8/6,1
C1U501,牛鬥,280,121.5737,24.6378,宜蘭縣,大同鄉牛鬥地區,1996/1/1,1
C1U670,寒溪,105,121.7169,24.634,宜蘭縣,冬山鄉大進村大進七路51號(大進國民小學校園內),1996/1/1,1
C1U690,新寮,101,121.7513,24.6256,宜蘭縣,冬山鄉中山瀑布附近,1996/1/1,1
C1U830,烏石鼻,618,121.8394,24.4827,宜蘭縣,蘇澳鎮之烏石鼻(南澳事業區第10鄰班地上),2011/1/1,1
C1U840,東澳嶺,750,121.8485,24.5378,宜蘭縣,南澳鄉,2011/7/1,1
C1U850,觀音海岸,665,121.7786,24.3832,宜蘭縣,南澳鄉之林務局羅東林區管理處和平事業區91林班,2011/7/1,1
C1U880,北關,8,121.8719,24.9065,宜蘭縣,頭城鎮濱海路三段(北關梗枋漁港北側路邊),2017/12/1,1
C1U920,思源,2085,121.3472,24.3931,宜蘭縣,大同鄉與臺中市和平區交界之羅葉尾山步道邊(大甲溪事業區40林班內),2018/3/23,1
C1V160,達卡努瓦,1040,120.7053,23.2798,高雄市,那瑪夏區達卡努瓦里,1992/5/1,1
C1V170,排雲,3690,120.9541,23.4636,高雄市,桃源區排雲山莊往南峰方向步行約6小時(登山口-8.5k排雲山莊-1.5k測站),1992/5/1,1
C1V190,南天池,2700,120.9118,23.274,高雄市,桃源區長春祠旁之步道步行約50分鐘,1992/5/1,1
C1V200,梅山,870,120.8236,23.2684,高雄市,桃源區梅山里(梅山口遊客中心旁道路步行約10分鐘),1992/5/1,1
C1V220,小關山,1781,120.8136,23.1542,高雄市,桃源區老濃溪事業區99林班地,1992/5/1,1
C1V231,高中,731,120.7167,23.1349,高雄市,桃源區高中里,2013/4/18,1
C1V300,御油山,1637,120.7154,23.002,高雄市,桃源區農業委員會林業試驗所六龜分所鳳崗山苗圃觀測坪內,1992/5/1,1
C1V340,大津,190,120.646,22.8883,高雄市,六龜區大津里34號(龍興國小大津分校),1992/5/1,1
C1V390,尖山,60,120.3678,22.8132,高雄市,燕巢區尖山里尖山巷11之1號(燕巢國小尖山分校),1992/5/1,1
C1V570,吉東,82,120.5454,22.8542,高雄市,美濃區吉東里吉頂路19號(吉東國小),2013/8/1,1
C1V580,溪南(特生中心),1656,120.7885,23.085,高雄市,桃源區石山林道7k(特有生物研究保育中心中海拔試驗站),2013/4/18,1
C1V590,新發,741,120.6461,23.057,高雄市,六龜區旗山事業區61林班地,2013/12/1,1
C1V600,藤枝,1561,120.757,23.072,高雄市,桃源區藤枝森林遊樂區遊客中心,2013/4/18,1
C1V780,多納林道,1050,120.7379,22.888,高雄市,茂林區多納林道9k(林試所六龜研究中心多納苗圃),2013/12/1,1
C1X040,東原,232,120.4638,23.2916,臺南市,東山區高原里4鄰31號後方果園,1993/3/1,1
C1Z030,紅葉,218,121.3388,23.4931,花蓮縣,萬榮鄉紅葉村教堂附近,1997/7/1,1
C1Z040,立山,434,121.32738,23.443356,花蓮縣,卓溪鄉立山村後山上,1997/7/1,1
C1Z110,三棧,680,121.60501,24.11557,花蓮縣,秀林鄉雙露山,2017/12/1,1
C1Z120,壽豐,62,121.5081,23.8709,花蓮縣,壽豐鄉壽豐村壽山路37號(壽豐鄉文康中心),2017/6/3,1
C1Z130,銅門,187,121.4928,23.9657,花蓮縣,秀林鄉銅門村69號(銅門國小),2017/6/3,1
C1Z140,荖溪,950,121.4596,23.8906,花蓮縣,秀林鄉,2018/3/23,1
C1Z240,中平林道,1163,121.2676,23.4212,花蓮縣,卓溪鄉中平林道(玉里林道)約15K鐵牌處步行上山高地,2017/12/1,1
