Time(EDT,Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Mon 06:09:25 PM,28.6579,74.8608,← 264°,456,525,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:09:55 PM,28.6511,74.7875,← 264°,457,526,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:10:25 PM,28.6443,74.7158,← 264°,459,528,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:10:55 PM,28.6374,74.644,← 264°,461,531,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:11:25 PM,28.6304,74.5706,← 264°,463,533,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:11:55 PM,28.6234,74.4979,← 264°,464,534,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:12:26 PM,28.6163,74.4246,← 264°,464,534,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:12:56 PM,28.6092,74.3525,← 264°,463,533,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:13:26 PM,28.6021,74.2794,← 264°,464,534,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:13:56 PM,28.5948,74.206,← 264°,464,534,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:14:26 PM,28.5876,74.1327,← 264°,466,536,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:15:04 PM,28.5788,74.0447,← 264°,468,539,"38,000", Level, FlightAware ADS-B (DEL / VIDP)
Mon 06:15:35 PM,28.571,73.9676,← 264°,468,539,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 06:16:06 PM,28.5635,73.8932,← 264°,469,540,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 06:16:36 PM,28.556,73.8192,← 263°,469,540,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 06:17:09 PM,28.5505,73.7384,← 268°,469,540,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 06:17:39 PM,28.5478,73.6645,← 267°,469,540,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 06:18:14 PM,28.5441,73.58,← 267°,469,540,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 06:18:44 PM,28.5408,73.5066,← 267°,471,542,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 06:19:40 PM,28.5348,73.3673,← 267°,473,544,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 06:20:34 PM,28.5287,73.2319,← 267°,474,545,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 06:21:06 PM,28.5251,73.1537,← 267°,474,545,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 06:21:37 PM,28.5215,73.0753,← 267°,473,544,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 06:22:15 PM,28.5171,72.9814,← 267°,473,544,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 06:23:34 PM,28.5076,72.7832,← 267°,477,549,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 06:25:47 PM,28.4911,72.4517,← 267°,478,550,"38,000", Level, FlightAware ADS-B (LUH / VILD)
Mon 06:27:51 PM,28.4752,72.1439,← 267°,479,551,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 06:28:51 PM,28.4673,71.9924,← 267°,480,552,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 06:29:21 PM,28.4634,71.9182,← 267°,481,554,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 06:29:52 PM,28.4593,71.8408,← 267°,482,555,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 06:30:22 PM,28.4551,71.764,← 266°,481,554,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 06:31:48 PM,28.443,71.546,← 266°,485,558,"38,000", Level, FlightAware ADS-B (BUP / VIBT)
Mon 06:33:57 PM,28.408,71.2871,← 261°,,,, Level, Estimated
Mon 06:35:56 PM,28.3752,71.0484,← 261°,,,, Level, Estimated
Mon 06:37:53 PM,28.3425,70.8139,← 261°,,,, Level, Estimated
Mon 06:38:55 PM,28.3251,70.6896,← 261°,,,, Level, Estimated
Mon 06:39:59 PM,28.3069,70.5614,← 261°,,,, Level, Estimated
Mon 06:41:53 PM,28.2743,70.3332,← 261°,,,, Level, Estimated
Mon 06:42:55 PM,28.2564,70.2091,← 261°,,,, Level, Estimated
Mon 06:44:51 PM,28.2226,69.9771,← 261°,,,, Level, Estimated
Mon 06:45:59 PM,28.2026,69.8412,← 261°,,,, Level, Estimated
Mon 06:47:59 PM,28.167,69.6014,← 260°,,,, Level, Estimated
Mon 06:48:59 PM,28.1491,69.4816,← 260°,,,, Level, Estimated
Mon 06:50:56 PM,28.1138,69.248,← 260°,,,, Level, Estimated
Mon 06:51:56 PM,28.0955,69.1283,← 260°,,,, Level, Estimated
Mon 06:53:52 PM,28.0599,68.897,← 260°,,,, Level, Estimated
Mon 06:54:52 PM,28.0414,68.7774,← 260°,,,, Level, Estimated
Mon 06:56:57 PM,28.0023,68.5284,← 260°,,,, Level, Estimated
Mon 06:58:52 PM,27.966,68.2995,← 260°,,,, Level, Estimated
Mon 06:59:56 PM,27.9457,68.1721,← 260°,,,, Level, Estimated
Mon 07:01:57 PM,27.9069,67.9315,← 260°,,,, Level, Estimated
Mon 07:02:57 PM,27.8875,67.8123,← 260°,,,, Level, Estimated
Mon 07:04:55 PM,27.849,67.5779,← 260°,,,, Level, Estimated
Mon 07:05:59 PM,27.828,67.4508,← 259°,,,, Level, Estimated
Mon 07:07:55 PM,27.7896,67.2206,← 259°,,,, Level, Estimated
Mon 07:09:46 PM,27.7525,67.0005,← 259°,,,, Level, Estimated
Mon 07:10:48 PM,27.7316,66.8777,← 259°,,,, Level, Estimated
Mon 07:11:54 PM,27.7093,66.7469,← 259°,,,, Level, Estimated
Mon 07:12:54 PM,27.6889,66.6281,← 259°,,,, Level, Estimated
Mon 07:13:54 PM,27.6684,66.5093,← 259°,,,, Level, Estimated
Mon 07:15:56 PM,27.6263,66.268,← 259°,,,, Level, Estimated
Mon 07:17:59 PM,27.5835,66.0248,← 259°,,,, Level, Estimated
Mon 07:19:56 PM,27.5424,65.7937,← 259°,,,, Level, Estimated
Mon 07:21:58 PM,27.4992,65.5529,← 259°,,,, Level, Estimated
Mon 07:22:58 PM,27.4777,65.4345,← 258°,,,, Level, Estimated
Mon 07:24:53 PM,27.4364,65.2078,← 258°,,,, Level, Estimated
Mon 07:26:54 PM,27.3925,64.9694,← 258°,,,, Level, Estimated
Mon 07:27:56 PM,27.3698,64.8474,← 258°,,,, Level, Estimated
Mon 07:29:59 PM,27.3244,64.6045,← 258°,,,, Level, Estimated
Mon 07:31:57 PM,27.2804,64.3717,← 258°,,,, Level, Estimated
Mon 07:33:39 PM,27.2421,64.1705,← 258°,,,, Level, Estimated
Mon 07:34:58 PM,27.2122,64.0149,← 258°,,,, Level, Estimated
Mon 07:36:57 PM,27.1669,63.7805,← 258°,,,, Level, Estimated
Mon 07:38:57 PM,27.1208,63.5444,← 258°,,,, Level, Estimated
Mon 07:40:12 PM,25.2167,62.1556,← 246°,441,507,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:42:44 PM,25.0892,61.8477,← 246°,437,503,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:43:45 PM,25.0375,61.7232,↙ 245°,438,504,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:45:52 PM,24.9306,61.4672,↙ 245°,436,502,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:46:28 PM,24.901,61.3946,← 246°,434,499,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:47:00 PM,24.8754,61.3303,← 246°,434,499,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:47:30 PM,24.8512,61.27,← 246°,433,498,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:48:00 PM,24.827,61.2105,← 246°,431,496,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:48:30 PM,24.802,61.1487,← 246°,430,495,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:49:00 PM,24.7779,61.0892,← 246°,427,491,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:49:31 PM,24.7533,61.0288,← 246°,426,490,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:50:13 PM,24.7192,60.9448,← 246°,424,488,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:50:43 PM,24.6949,60.8853,← 246°,424,488,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:51:21 PM,24.6629,60.8105,↙ 245°,426,490,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:51:57 PM,24.6327,60.7401,↙ 245°,425,489,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:52:28 PM,24.6066,60.6791,↙ 245°,426,490,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:53:02 PM,24.5794,60.6151,↙ 245°,426,490,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:53:32 PM,24.554,60.5563,↙ 245°,428,493,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:54:02 PM,24.5279,60.4967,↙ 245°,428,493,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:54:32 PM,24.5031,60.4398,↙ 245°,428,493,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:55:03 PM,24.4766,60.3789,↙ 245°,426,490,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:55:33 PM,24.4514,60.3212,↙ 245°,425,489,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:56:03 PM,24.4254,60.2616,↙ 245°,425,489,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:56:34 PM,24.3992,60.2017,↙ 245°,425,489,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:57:04 PM,24.3738,60.1437,↙ 245°,425,489,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:57:34 PM,24.348,60.0848,↙ 244°,425,489,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:58:04 PM,24.3224,60.0264,↙ 244°,426,490,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:58:34 PM,24.2973,59.9692,↙ 244°,428,493,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:59:05 PM,24.2707,59.9088,↙ 244°,428,493,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 07:59:35 PM,24.2448,59.8501,↙ 244°,429,494,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:00:05 PM,24.2188,59.7911,↙ 244°,427,491,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:00:35 PM,24.1929,59.7324,↙ 244°,426,490,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:01:06 PM,24.1669,59.6735,↙ 244°,426,490,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:01:36 PM,24.1412,59.6156,↙ 244°,426,490,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:02:06 PM,24.115,59.5564,↙ 244°,428,493,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:02:36 PM,24.0891,59.4981,↙ 244°,428,493,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:03:06 PM,24.0626,59.4386,↙ 244°,428,493,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:03:36 PM,24.0368,59.3805,↙ 244°,428,493,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:04:06 PM,24.0108,59.3221,↙ 245°,426,490,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:04:36 PM,23.9901,59.2655,← 252°,419,482,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:04:59 PM,23.9785,59.2186,← 258°,416,479,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:05:31 PM,23.969,59.1518,← 265°,413,475,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:05:51 PM,23.967,59.1095,← 269°,412,474,"38,000", Level, FlightAware ADS-B (NHD / OMDM)
Mon 08:06:21 PM,23.9702,59.0435,← 277°,411,473,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:06:51 PM,23.98,58.9828,← 283°,411,473,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:07:22 PM,23.9967,58.9225,← 290°,412,474,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:07:52 PM,24.0159,58.8638,← 289°,411,473,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:08:23 PM,24.0343,58.8051,← 289°,411,473,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:08:53 PM,24.0534,58.7449,← 289°,411,473,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:09:23 PM,24.0722,58.6859,← 289°,411,473,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:09:53 PM,24.0909,58.6271,← 289°,411,473,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:10:24 PM,24.1095,58.5683,← 289°,411,473,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:10:58 PM,24.1309,58.501,← 289°,410,472,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:11:29 PM,24.1501,58.4403,← 289°,409,471,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:12:00 PM,24.1688,58.381,← 289°,410,472,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:12:30 PM,24.1877,58.3211,← 289°,410,472,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:13:00 PM,24.2065,58.2616,← 289°,411,473,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:13:30 PM,24.2253,58.2019,← 289°,411,473,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:14:00 PM,24.2435,58.1441,← 289°,412,474,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:14:30 PM,24.2621,58.0847,← 289°,411,473,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:15:01 PM,24.2811,58.0241,← 289°,411,473,"38,000", Level, FlightAware ADS-B (MCT / OOMS)
Mon 08:15:37 PM,24.3042,57.95,← 289°,411,473,"38,000",-413 Descending, FlightAware ADS-B (DXB / OMDB)
Mon 08:16:10 PM,24.3241,57.8863,← 289°,413,475,"37,525",-905 Descending, FlightAware ADS-B (MCT / OOMS)
Mon 08:16:40 PM,24.3426,57.8269,← 289°,413,475,"37,050",-975 Descending, FlightAware ADS-B (MCT / OOMS)
Mon 08:17:10 PM,24.3614,57.7665,← 289°,414,476,"36,550","-1,180 Descending", FlightAware ADS-B (MCT / OOMS)
Mon 08:17:41 PM,24.3799,57.707,← 289°,416,479,"35,850","-1,672 Descending", FlightAware ADS-B (MCT / OOMS)
Mon 08:18:11 PM,24.3989,57.6459,← 289°,414,476,"34,850","-2,000 Descending", FlightAware ADS-B (MCT / OOMS)
Mon 08:18:41 PM,24.4176,57.5854,← 289°,415,478,"33,850","-1,900 Descending", FlightAware ADS-B (MCT / OOMS)
Mon 08:19:11 PM,24.4362,57.525,← 289°,417,480,"32,950","-1,816 Descending", FlightAware ADS-B (MCT / OOMS)
Mon 08:19:38 PM,24.4521,57.4739,← 288°,413,475,"32,125","-1,368 Descending", FlightAware ADS-B (RKT / OMRK)
