Time(EDT,Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Mon 11:55:28 AM,24.9673,120.9137,↙ 237°,372,428,"10,950","2,238 Climbing", FlightAware ADS-B (RMQ / RCMQ)
Mon 11:55:58 AM,24.939,120.8662,↙ 237°,374,430,"12,025","2,146 Climbing", FlightAware ADS-B (TSA / RCSS)
Mon 11:56:33 AM,24.9066,120.8099,↙ 238°,375,432,"13,275","1,985 Climbing", FlightAware ADS-B (RMQ / RCMQ)
Mon 11:57:03 AM,24.8787,120.7617,↙ 238°,380,437,"14,175","1,550 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 11:57:33 AM,24.8497,120.7114,↙ 238°,390,449,"14,825","1,375 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 11:58:03 AM,24.8206,120.6612,↙ 237°,398,458,"15,550","1,675 Climbing", FlightAware ADS-B (CYI / RCKU)
Mon 11:58:33 AM,24.7906,120.6097,↙ 238°,395,455,"16,500","1,875 Climbing", FlightAware ADS-B (CYI / RCKU)
Mon 11:59:03 AM,24.7604,120.5587,↙ 236°,394,453,"17,425","1,663 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 11:59:19 AM,24.7424,120.5297,↙ 234°,400,460,"17,775","1,208 Climbing", FlightAware ADS-B (CYI / RCKU)
Mon 11:59:39 AM,24.7199,120.5026,↙ 221°,408,470,"18,150","1,221 Climbing", FlightAware ADS-B (RMQ / RCMQ)
Mon 12:00:02 PM,24.6854,120.4739,↙ 220°,411,473,"18,650","1,258 Climbing", FlightAware ADS-B (TSA / RCSS)
Mon 12:00:41 PM,24.63,120.4145,↙ 226°,415,478,"19,450","1,152 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 12:01:11 PM,24.591,120.3695,↙ 227°,419,482,"19,975","1,250 Climbing", FlightAware ADS-B (CYI / RCKU)
Mon 12:01:41 PM,24.5523,120.3252,↙ 226°,419,482,"20,700","1,328 Climbing", FlightAware ADS-B (HUN / RCYU)
Mon 12:02:12 PM,24.5079,120.2745,↙ 226°,422,486,"21,325","1,057 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 12:02:42 PM,24.4685,120.2297,↙ 226°,429,494,"21,775","1,050 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 12:03:12 PM,24.4252,120.1807,↙ 226°,429,494,"22,375","1,033 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 12:03:43 PM,24.3846,120.1346,↙ 226°,434,499,"22,825","1,156 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 12:04:13 PM,24.3408,120.0849,↙ 226°,432,497,"23,550","1,175 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 12:04:43 PM,24.2992,120.0379,↙ 226°,437,503,"24,000",850 Climbing, FlightAware ADS-B (TPE / RCTP)
Mon 12:05:13 PM,24.2568,119.9899,↙ 226°,443,510,"24,400",925 Climbing, FlightAware ADS-B (TPE / RCTP)
Mon 12:05:43 PM,24.2137,119.9413,↙ 226°,445,512,"24,925","1,100 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 12:06:13 PM,24.1706,119.8926,↙ 226°,445,512,"25,500","1,125 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 12:06:43 PM,24.1273,119.8439,↙ 226°,447,514,"26,050","1,050 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 12:07:13 PM,24.0856,119.797,↙ 226°,448,516,"26,550",984 Climbing, FlightAware ADS-B (TSA / RCSS)
Mon 12:07:44 PM,24.0397,119.7453,↙ 226°,451,519,"27,050",984 Climbing, FlightAware ADS-B (TPE / RCTP)
Mon 12:08:14 PM,23.996,119.6963,↙ 226°,451,519,"27,550",900 Climbing, FlightAware ADS-B (TPE / RCTP)
Mon 12:08:44 PM,23.9532,119.6482,↙ 226°,454,522,"27,950",925 Climbing, FlightAware ADS-B (TPE / RCTP)
Mon 12:09:14 PM,23.9102,119.6001,↙ 226°,454,522,"28,475",950 Climbing, FlightAware ADS-B (CYI / RCKU)
Mon 12:09:44 PM,23.8648,119.5491,↙ 226°,458,527,"28,900",775 Climbing, FlightAware ADS-B (TPE / RCTP)
Mon 12:10:14 PM,23.8191,119.4981,↙ 226°,463,533,"29,250",675 Climbing, FlightAware ADS-B (TPE / RCTP)
Mon 12:10:44 PM,23.7749,119.4488,↙ 225°,469,540,"29,575",670 Climbing, FlightAware ADS-B (TPE / RCTP)
Mon 12:11:01 PM,23.7473,119.4224,↙ 217°,475,547,"29,775",796 Climbing, FlightAware ADS-B (TNN / RCNN)
Mon 12:11:33 PM,23.6889,119.3789,↙ 215°,480,552,"30,225","1,089 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 12:12:03 PM,23.6322,119.3356,↙ 215°,476,548,"30,900","1,475 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 12:12:34 PM,23.5766,119.2929,↙ 215°,469,540,"31,725","1,107 Climbing", FlightAware ADS-B (TPE / RCTP)
Mon 12:13:04 PM,23.5256,119.2543,↙ 215°,468,539,"32,025",275 Climbing, FlightAware ADS-B (TPE / RCTP)
Mon 12:13:34 PM,23.4716,119.2133,↙ 215°,461,531,"32,000",-25 Descending, FlightAware ADS-B (KHH / RCKH)
Mon 12:14:04 PM,23.4193,119.1736,↙ 215°,455,524,"32,000", Level, FlightAware ADS-B (KHH / RCKH)
Mon 12:14:34 PM,23.3673,119.1342,↙ 215°,454,522,"32,000", Level, FlightAware ADS-B (KHH / RCKH)
Mon 12:15:05 PM,23.3151,119.0947,↙ 215°,454,522,"32,000", Level, FlightAware ADS-B (KHH / RCKH)
Mon 12:15:35 PM,23.2623,119.0547,↙ 215°,454,522,"32,000", Level, FlightAware ADS-B (KHH / RCKH)
Mon 12:16:05 PM,23.2117,119.0165,↙ 215°,453,521,"32,000",25 Climbing, FlightAware ADS-B (KHH / RCKH)
Mon 12:16:35 PM,23.1596,118.9772,↙ 215°,455,524,"32,025", Level, FlightAware ADS-B (KHH / RCKH)
Mon 12:17:06 PM,23.1046,118.9356,↙ 215°,467,537,"32,000",-24 Descending, FlightAware ADS-B (KHH / RCKH)
Mon 12:17:37 PM,23.0493,118.8939,↙ 215°,473,544,"32,000", Level, FlightAware ADS-B (KHH / RCKH)
Mon 12:18:08 PM,22.9938,118.8522,↙ 215°,477,549,"32,000", Level, FlightAware ADS-B (KHH / RCKH)
Mon 12:18:38 PM,22.9396,118.8114,↙ 215°,480,552,"32,000", Level, FlightAware ADS-B (KHH / RCKH)
Mon 12:19:09 PM,22.883,118.7689,↙ 215°,469,540,"32,000",24 Climbing, FlightAware ADS-B (CYI / RCKU)
Mon 12:19:40 PM,22.829,118.7285,↙ 215°,460,529,"32,025", Level, FlightAware ADS-B (KHH / RCKH)
Mon 12:20:10 PM,22.7756,118.6885,↙ 215°,459,528,"32,000",-25 Descending, FlightAware ADS-B (KHH / RCKH)
Mon 12:20:40 PM,22.7238,118.6496,↙ 215°,457,526,"32,000", Level, FlightAware ADS-B (HCN / RCKW)
Mon 12:21:11 PM,22.6691,118.6086,↙ 215°,455,524,"32,000", Level, FlightAware ADS-B (KHH / RCKH)
Mon 12:21:42 PM,22.6136,118.5673,↙ 215°,454,522,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:22:12 PM,22.5645,118.5306,↙ 215°,454,522,"32,000", Level, FlightAware ADS-B (TNN / RCNN)
Mon 12:22:43 PM,22.51,118.4899,↙ 215°,455,524,"32,000", Level, FlightAware ADS-B (WOT / RCWA)
